_H:	|batch	|epoch	$train_mode	|trial	|tick	$trial_name	$obj	$rot	$output_name	%minus_cycles	%sse	%norm_err	%cos_err	%cos_err_prv	%cos_err_vs_prv	%V1h_cos_err	%V1h_cos_err_prv	%V1h_cos_err_vs_prv	%V2h_cos_err	%V2h_cos_err_prv	%V2h_cos_err_vs_prv	%Output_act_m	%ext_rew
_D:	0	2	"TRAIN"	18	18	"4_S+T+"	"03"	"216"	""	50	43.0741	0.0407986	0.506283	0.590204	-0.0839211	0.506283	0.590204	-0.0839211	0	0	0	0.814445	0
_D:	0	2	"TRAIN"	19	19	"4_S+T+"	"03"	"228"	""	50	38.0493	0.0399306	0.590433	0.656894	-0.0664603	0.590433	0.656894	-0.0664603	0	0	0	0.811444	0
_D:	0	2	"TRAIN"	20	20	"4_S+T+"	"03"	"240"	""	50	35.1755	0.0334201	0.646934	0.576856	0.0700774	0.646934	0.576856	0.0700774	0	0	0	0.804719	0
_D:	0	2	"TRAIN"	21	21	"4_S+T+"	"03"	"252"	""	50	37.0177	0.0412326	0.625333	0.547501	0.0778324	0.625333	0.547501	0.0778324	0	0	0	0.822637	0
_D:	0	2	"TRAIN"	22	22	"4_S+T+"	"03"	"264"	""	50	34.2615	0.0303819	0.634731	0.550936	0.0837953	0.634731	0.550936	0.0837953	0	0	0	0.818113	0
_D:	0	2	"TRAIN"	23	23	"4_S+T+"	"03"	"276"	""	50	32.6713	0.0321181	0.633516	0.562971	0.0705449	0.633516	0.562971	0.0705449	0	0	0	0.805828	0
_D:	0	2	"TRAIN"	24	24	"4_S+T+"	"03"	"288"	""	50	30.186	0.0277778	0.679524	0.486167	0.193357	0.679524	0.486167	0.193357	0	0	0	0.804638	0
_D:	0	2	"TRAIN"	25	25	"4_S+T+"	"03"	"300"	""	50	24.6662	0.0260417	0.715056	0.480472	0.234584	0.715056	0.480472	0.234584	0	0	0	0.80526	0
_D:	0	2	"TRAIN"	26	26	"4_S+T+"	"03"	"312"	""	50	22.3048	0.0230035	0.713714	0.516611	0.197103	0.713714	0.516611	0.197103	0	0	0	0.788708	0
_D:	0	2	"TRAIN"	27	27	"4_S+T+"	"03"	"324"	""	50	23.1869	0.0303819	0.716907	0.473809	0.243099	0.716907	0.473809	0.243099	0	0	0	0.787064	0
_D:	0	2	"TRAIN"	28	28	"4_S+T+"	"03"	"336"	""	50	24.1273	0.0282118	0.666898	0.469069	0.197829	0.666898	0.469069	0.197829	0	0	0	0.75193	0
_D:	0	2	"TRAIN"	29	29	"4_S+T+"	"03"	"348"	""	50	25.5421	0.0251736	0.61289	0.595513	0.0173766	0.61289	0.595513	0.0173766	0	0	0	0.764819	0
_D:	0	2	"TRAIN"	30	30	"4_S+T+"	"03"	"000"	""	50	32.9133	0.0290799	0.496089	0.397431	0.0986581	0.496089	0.397431	0.0986581	0	0	0	0.787879	0
_D:	0	3	"TRAIN"	1	1	"4_S+T+"	"03"	"012"	""	50	0	0	0	0	0	0.496089	0.397431	0.0986581	0	0	0	0.611683	0
_D:	0	3	"TRAIN"	2	2	"4_S+T+"	"03"	"024"	""	50	66.4559	0.0581597	0.424761	0.467546	-0.0427852	0.424761	0.467546	-0.0427852	0	0	0	0.0106636	0
_D:	0	3	"TRAIN"	3	3	"4_S+T+"	"03"	"036"	""	50	62.1971	0.0577257	0.508102	0.536225	-0.0281225	0.508102	0.536225	-0.0281225	0	0	0	0.000378854	0
_D:	0	3	"TRAIN"	4	4	"4_S+T+"	"03"	"048"	""	50	60.9694	0.0581597	0.534597	0.614367	-0.0797698	0.534597	0.614367	-0.0797698	0	0	0	7.99891e-05	0
_D:	0	3	"TRAIN"	5	5	"4_S+T+"	"03"	"060"	""	50	64.1068	0.0538194	0.510751	0.533082	-0.0223308	0.510751	0.533082	-0.0223308	0	0	0	5.70297e-05	0
_D:	0	3	"TRAIN"	6	6	"4_S+T+"	"03"	"072"	""	50	63.1404	0.0581597	0.509566	0.542407	-0.0328407	0.509566	0.542407	-0.0328407	0	0	0	5.48608e-05	0
_D:	0	3	"TRAIN"	7	7	"4_S+T+"	"03"	"084"	""	50	59.7114	0.0525174	0.527134	0.53827	-0.0111356	0.527134	0.53827	-0.0111356	0	0	0	5.64284e-05	0
_D:	0	3	"TRAIN"	8	8	"4_S+T+"	"03"	"096"	""	50	56.1797	0.0516493	0.528938	0.530652	-0.00171387	0.528938	0.530652	-0.00171387	0	0	0	3.94755e-05	0
_D:	0	3	"TRAIN"	9	9	"4_S+T+"	"03"	"108"	""	50	58.2377	0.0568576	0.497316	0.488921	0.0083949	0.497316	0.488921	0.0083949	0	0	0	0.000411168	0
